MP:0005282	decreased fatty acid level
ZP:0000373	abnormal(ly) aplastic anterior commissure
ZP:0005125	abnormal(ly) decreased size swim bladder
ZP:0001335	abnormal(ly) deformed caudal fin
ZP:0001334	abnormal(ly) malformed somite
ZP:0006346	abnormal(ly) decreased length intestinal villus
ZP:0004191	abnormal(ly) immature retinal ganglion cell layer
ZP:0006336	abnormal(ly) kinked fin
ZP:0005348	abnormal(ly) decreased occurrence primordial germ cell cell motility
ZP:0002310	abnormal(ly) circling whole organism
ZP:0000412	abnormal(ly) aplastic cranial nerve II
ZP:0006197	abnormal(ly) decreased occurrence axon extension
ZP:0005358	abnormal(ly) lacks all parts of type retina towards amacrine cell
ZP:0005357	abnormal(ly) increased occurrence cell proliferation involved in compound eye morphogenesis
ZP:0005361	abnormal(ly) decreased thickness cranial nerve II
ZP:0000390	abnormal(ly) disrupted vasculature development
ZP:0007265	abnormal(ly) disrupted otolith development
ZP:0000425	abnormal(ly) decreased size fourth ventricle
ZP:0001508	abnormal(ly) damaged muscle
ZP:0004334	abnormal(ly) accumulation blood towards heart
ZP:0005285	abnormal(ly) increased occurrence neuron apoptotic process
ZP:0001436	abnormal(ly) disrupted cloaca development
ZP:0001412	abnormal(ly) decreased size endocardium
ZP:0000454	abnormal(ly) morphology heart tube
ZP:0001462	abnormal(ly) arrested heart looping
ZP:0002408	abnormal(ly) curved caudal fin
ZP:0006235	abnormal(ly) decreased size third ventricle
ZP:0004319	abnormal(ly) hypoplastic hyaloid vessel
ZP:0001443	abnormal(ly) dilated pronephric duct
ZP:0001442	abnormal(ly) decreased length pronephric duct
ZP:0001444	abnormal(ly) disoriented pronephric duct cilium
ZP:0000490	abnormal(ly) malformed heart
ZP:0001453	abnormal(ly) decreased size extension
ZP:0009088	abnormal(ly) present in fewer numbers in organism pharyngeal musculature
ZP:0002427	abnormal(ly) decreased size Kupffer's vesicle
ZP:0003830	abnormal(ly) decreased thickness caudal fin
ZP:0001661	abnormal(ly) disrupted axon extension
ZP:0008283	abnormal(ly) disrupted regulation of neuron apoptotic process
ZP:0008281	abnormal(ly) disrupted neuromast development
ZP:0003796	abnormal(ly) increased occurrence neuron differentiation
ZP:0003800	abnormal(ly) has extra parts of type spinal cord towards neuron
ZP:0009251	abnormal(ly) displaced to heart towards whole organism right side
ZP:0003805	abnormal(ly) disrupted brain morphogenesis
ZP:0009255	abnormal(ly) present in fewer numbers in organism Mauthner neuron
ZP:0003785	abnormal(ly) increased size cell
ZP:0000536	abnormal(ly) broken cranial vasculature
ZP:0008197	abnormal(ly) disorganized podocyte cell projection
ZP:0003749	abnormal(ly) hypoplastic intersegmental vessel
ZP:0003747	abnormal(ly) delayed sprouting angiogenesis
ZP:0000631	abnormal(ly) centered heart tube
ZP:0003746	abnormal(ly) delayed angiogenesis
ZP:0004939	abnormal(ly) decreased occurrence apoptotic process
ZP:0008218	abnormal(ly) orientation atrium towards cardiac ventricle
ZP:0004942	abnormal(ly) mislocalised radially heart
ZP:0003732	abnormal(ly) decreased length motor neuron axon
ZP:0003734	abnormal(ly) disrupted embryonic heart tube morphogenesis
ZP:0003735	abnormal(ly) delayed cardiac muscle progenitor cell migration to the midline involved in heart field formation
ZP:0003741	abnormal(ly) disorganized trunk somite border
ZP:0004985	abnormal(ly) amorphous midbrain hindbrain boundary
ZP:0002774	abnormal(ly) flattened head
ZP:0002763	abnormal(ly) present in fewer numbers in organism hindbrain neuron
ZP:0009351	abnormal(ly) broken trunk vasculature
ZP:0006102	abnormal(ly) absent retina photoreceptor outer segment layer
ZP:0006926	abnormal(ly) increased occurrence angiogenesis
ZP:0000674	abnormal(ly) decreased process quality fast muscle cell muscle fiber development
ZP:0008412	abnormal(ly) absent ventral fin fold
ZP:0005044	abnormal(ly) neoplastic eye
ZP:0002564	abnormal(ly) increased curvature trunk
ZP:0006974	abnormal(ly) unbranched motor neuron axon
ZP:0000663	abnormal(ly) present in fewer numbers in organism cephalic musculature
ZP:0001703	abnormal(ly) disorganized medial rectus myofibril
ZP:0002674	abnormal(ly) degenerate notochord
ZP:0001702	abnormal(ly) morphology mandibular muscle
ZP:0007947	abnormal(ly) hypoplastic swim bladder
ZP:0001698	abnormal(ly) absent pharyngeal arch 3-7 skeleton
ZP:0007945	abnormal(ly) disrupted swim bladder morphogenesis
ZP:0002683	abnormal(ly) malformed chondrocranium cartilage
ZP:0006987	abnormal(ly) kinked trunk
ZP:0002682	abnormal(ly) malformed pharyngeal arch cartilage
ZP:0008322	abnormal(ly) process quality brain morphogenesis
ZP:0010266	abnormal(ly) disrupted forebrain neuron differentiation
ZP:0001706	abnormal(ly) decreased length head anterior/posterior axis
ZP:0001704	abnormal(ly) increased thickness cornea
ZP:0001716	abnormal(ly) absent corneal endothelium
ZP:0003621	abnormal(ly) opaque head
ZP:0003616	abnormal(ly) decreased size pectoral fin fold
ZP:0010289	abnormal(ly) lacks all parts of type whole organism towards dorsal root ganglion
ZP:0010288	abnormal(ly) neoplastic posterior intestine
ZP:0003615	abnormal(ly) malformed trabecula cranii
ZP:0010291	abnormal(ly) lacks all parts of type whole organism towards pharyngeal arch cartilage
ZP:0003609	abnormal(ly) bulbous head
ZP:0010293	abnormal(ly) neoplastic post-vent region
ZP:0007974	abnormal(ly) immature somite
ZP:0003602	abnormal(ly) aplastic forebrain medial region
ZP:0010272	abnormal(ly) decreased occurrence oncogene-induced cell senescence
ZP:0009463	abnormal(ly) immature blood vessel endothelial cell adherens junction
ZP:0010277	abnormal(ly) neoplastic gut
ZP:0009458	abnormal(ly) disrupted adherens junction assembly
ZP:0010279	abnormal(ly) neoplastic, malignant peripheral nervous system
ZP:0010283	abnormal(ly) neoplastic gill
ZP:0010285	abnormal(ly) neoplastic integument
ZP:0000820	abnormal(ly) malformed pharyngeal arch 2
ZP:0000829	abnormal(ly) decreased occurrence thigmotaxis
ZP:0004639	abnormal(ly) shortened extension
MP:0008520	disorganized retinal outer plexiform layer
ZP:0000791	abnormal(ly) decreased process quality embryonic viscerocranium morphogenesis
ZP:0007923	abnormal(ly) apoptotic somite
ZP:0002958	abnormal(ly) U-shaped myotome muscle tendon junction
ZP:0006844	abnormal(ly) curved spinal cord
ZP:0002956	abnormal(ly) malformed myotome muscle tendon junction
ZP:0005741	abnormal(ly) decreased size endocrine pancreas
ZP:0002952	abnormal(ly) U-shaped vertical myoseptum
ZP:0001878	abnormal(ly) disrupted melanocyte migration
MP:0011697	vacuolated lens
ZP:0004060	abnormal(ly) morphology cranial vasculature
ZP:0000868	abnormal(ly) disrupted convergent extension involved in gastrulation
ZP:0001828	abnormal(ly) malformed post-vent region
ZP:0003021	abnormal(ly) U-shaped myotome
ZP:0004716	abnormal(ly) disrupted posterior lateral line neuromast development
ZP:0003036	abnormal(ly) absent somite muscle pioneer
ZP:0005686	abnormal(ly) disorganized fast muscle cell
ZP:0005824	abnormal(ly) present in fewer numbers in organism hindbrain oligodendrocyte
ZP:0005827	abnormal(ly) edematous eye
ZP:0007773	abnormal(ly) shortened mandibular arch skeleton
ZP:0002860	abnormal(ly) decreased size melanocyte
ZP:0002858	abnormal(ly) low saturation melanocyte
ZP:0000939	abnormal(ly) disrupted swimming behavior
ZP:0006694	abnormal(ly) delayed eye development
MP:0000905	increased superior colliculus size
ZP:0008679	abnormal(ly) immature pharyngeal arch 5
ZP:0003926	abnormal(ly) decreased functionality atrioventricular valve
ZP:0006721	abnormal(ly) present in fewer numbers in organism retina cell
ZP:0002928	abnormal(ly) decreased length pronephric duct cilium
ZP:0002931	abnormal(ly) cystic pronephric tubule
ZP:0005785	abnormal(ly) absent intermediate cell mass of mesoderm neutrophil
ZP:0002886	abnormal(ly) disrupted swim bladder development
ZP:0003866	abnormal(ly) mislocalised nucleate erythrocyte
ZP:0000962	abnormal(ly) disrupted axonal fasciculation
MP:0008409	increased cellular sensitivity to hydroxyurea
MP:0004030	induced chromosome breakage
MP:0008760	abnormal immunoglobulin heavy chain V(D)J recombination
HP:0000046	Scrotal hypoplasia
HP:0002510	Spastic tetraplegia
MP:0011750	abnormal seminiferous tubule epithelium morphology
MP:0008841	ruptured lens capsule
MP:0011743	abnormal Golgi apparatus morphology
HP:0000817	Poor eye contact
HP:0000049	Shawl scrotum
HP:0000565	Esotropia
HP:0002521	Hypsarrhythmia
HP:0100639	Erectile abnormalities
HP:0000830	Anterior hypopituitarism
HP:0000458	Anosmia
HP:0000786	Primary amenorrhea
MP:0000819	abnormal olfactory bulb morphology
MP:0004894	uterus atrophy
MP:0002682	decreased mature ovarian follicle number
MP:0004895	vagina atrophy
MP:0000627	abnormal mammary gland morphology
HP:0012285	Abnormal hypothalamus physiology
MP:0004833	ovary atrophy
MP:0004856	decreased ovary weight
MP:0002560	arrhythmic circadian persistence
MP:0002561	abnormal circadian phase
HP:0011423	Hyperchloremia
MP:0000384	distorted hair follicle pattern
MP:0005641	increased mean corpuscular hemoglobin concentration
MP:0005561	increased mean corpuscular hemoglobin
MP:0003063	increased coping response
MP:0000372	irregular coat pigmentation
MP:0010067	increased red blood cell distribution width
ZP:0003712	abnormal(ly) disrupted otolith morphogenesis
ZP:0003356	abnormal(ly) malformed notochord
MP:0002217	small lymph nodes
MP:0005563	abnormal hemoglobin content
MP:0008080	abnormal CD8-positive T cell differentiation
MP:0001586	abnormal erythrocyte cell number
MP:0008986	abnormal liver parenchyma morphology
MP:0000968	abnormal sensory neuron innervation pattern
MP:0010333	abnormal circulating apolipoprotein E level
MP:0010332	abnormal circulating apolipoprotein level
MP:0003980	increased circulating phospholipid level
MP:0009146	abnormal pancreatic acinar cell morphology
MP:0008632	increased circulating interleukin-16 level
MP:0005074	impaired granulocyte bactericidal activity
MP:0008647	increased circulating interleukin-12b level
ZP:0007545	abnormal(ly) malformed endocardial ring
ZP:0001439	abnormal(ly) malformed gut
MP:0011620	abnormal habituation to a new environment
MP:0008912	nervous
MP:0004138	abnormal mucous neck cell morphology
MP:0008001	hypochlorhydria
MP:0004140	abnormal chief cell morphology
MP:0003246	loss of GABAergic neurons
MP:0009923	decreased transitional stage T1 B cell number
MP:0004267	abnormal optic tract morphology
MP:0009770	abnormal optic chiasm morphology
MP:0001011	abnormal superior cervical ganglion morphology
MP:0001088	small nodose ganglion
MP:0008223	absent hippocampal commissure
MP:0008227	absent anterior commissure
MP:0004298	vestibular ganglion degeneration
MP:0006409	vestibular ganglion hypoplasia
MP:0001083	small geniculate ganglion
MP:0001085	small petrosal ganglion
MP:0000781	decreased corpus callosum size
MP:0000960	abnormal sensory ganglion morphology
MP:0008492	dorsal root ganglion degeneration
MP:0009895	decreased palatine shelf size
MP:0004538	abnormal maxillary shelf morphology
MP:0005359	growth retardation of incisors
MP:0009898	maxillary shelf hypoplasia
MP:0011262	abnormal branchial arch mesenchyme morphology
MP:0004912	absent mandibular coronoid process
MP:0004596	abnormal mandibular angle morphology
MP:0002256	abnormal laryngeal cartilage morphology
MP:0002257	abnormal arytenoid cartilage morphology
MP:0002258	abnormal cricoid cartilage morphology
MP:0006020	decreased tympanic ring size
MP:0000455	abnormal maxilla morphology
HP:0009803	Short phalanx of finger
MP:0003855	abnormal forelimb zeugopod morphology
MP:0001676	abnormal apical ectodermal ridge morphology
MP:0008494	absence of all nails
MP:0005566	decreased blood urea nitrogen level
MP:0002718	abnormal inner cell mass morphology
MP:0011707	impaired fibroblast cell migration
MP:0008932	abnormal embryonic tissue physiology
MP:0002991	abnormal sebaceous gland physiology
MP:0005114	premature hair loss
MP:0009794	sebaceous gland hyperplasia
MP:0003846	matted coat
MP:0010683	dilated hair follicle infundibulum
MP:0008767	abnormal hair medullary septa cells
MP:0002992	abnormal sebaceous lipid secretion
MP:0008731	abnormal hair shaft melanin granule morphology
MP:0009452	abnormal synaptonemal complex
HP:0007830	Adult-onset night blindness
HP:0000575	Scotoma
HP:0007770	Retinal hypoplasia
MP:0008448	abnormal retinal cone cell inner segment morphology
MP:0008444	retinal cone cell degeneration
MP:0008587	short photoreceptor outer segment
MP:0008455	abnormal retinal rod cell inner segment morphology
HP:0005954	Pulmonary capillary hemangiomatosis
MP:0001934	increased litter size
HP:0012261	Abnormal respiratory motile cilium physiology
MP:0002236	abnormal internal nares morphology
HP:0005938	Abnormal respiratory motile cilium morphology
MP:0010752	impaired mucociliary clearance
ZP:0004164	abnormal(ly) decreased process quality angiogenesis
ZP:0000589	abnormal(ly) decreased branchiness central artery
MP:0011202	abnormal ectoplacental cavity morphology
MP:0002800	abnormal short term object recognition memory
MP:0011518	abnormal cell chemotaxis
MP:0009936	abnormal dendritic spine morphology
MP:0005081	abnormal dermis reticular layer morphology
MP:0009545	abnormal dermis papillary layer morphology
MP:0000321	increased bone marrow cell number
MP:0004381	abnormal hair follicle melanocyte morphology
MP:0009382	abnormal cardiac jelly morphology
ZP:0006407	abnormal(ly) edematous fourth ventricle
ZP:0002713	abnormal(ly) disorganized trunk musculature
ZP:0000030	abnormal(ly) disrupted skeletal muscle fiber development
HP:0000274	Small face
HP:0002023	Anal atresia
HP:0001786	Narrow foot
HP:0001741	Phimosis
HP:0005338	Sparse lateral eyebrow
HP:0001172	Abnormality of the thumb
HP:0000738	Hallucinations
HP:0001756	Vestibular hypofunction
ZP:0008131	abnormal(ly) disorganized retinal outer plexiform layer synapse
ZP:0008043	abnormal(ly) disrupted optomotor response
ZP:0008128	abnormal(ly) disrupted synapse assembly
ZP:0008129	abnormal(ly) disrupted detection of light stimulus involved in visual perception
ZP:0008132	abnormal(ly) bent auditory receptor cell kinocilium
ZP:0006522	abnormal(ly) absent auditory receptor cell kinocilium
ZP:0005441	abnormal(ly) present in fewer numbers in organism hair cell posterior macula
MP:0002622	abnormal cochlear hair cell morphology
MP:0012029	abnormal electroretinogram waveform feature
MP:0004522	abnormal orientation of cochlear hair cell stereociliary bundles
MP:0004577	abnormal cochlear hair cell inter-stereocilial links morphology
MP:0001512	trunk curl
MP:0003627	abnormal leukocyte tethering or rolling
HP:0008800	Limited hip movement
HP:0006389	Limited knee flexion
HP:0004415	Pulmonary artery stenosis
HP:0006376	Limited elbow flexion
HP:0008905	Rhizomelia
HP:0012107	Increased fibular diameter
HP:0005050	Anterolateral radial head dislocation
HP:0001060	Axillary pterygia
HP:0009756	Popliteal pterygium
HP:0005025	Hypoplastic distal humeri
HP:0010880	Increased nuchal translucency
MP:0008532	decreased chemical nociceptive threshold
HP:0000013	Hypoplasia of the uterus
MP:0001356	increased aggression towards females
MP:0001354	increased aggression towards males
MP:0004149	increased bone strength
MP:0009257	dilated seminiferous tubules
MP:0001129	impaired ovarian folliculogenesis
MP:0004903	abnormal uterus weight
MP:0008547	abnormal neocortex morphology
MP:0004905	decreased uterus weight
MP:0000538	abnormal urinary bladder morphology
MP:0009285	increased gonadal fat pad weight
MP:0009304	increased retroperitoneal fat pad weight
MP:0004702	increased circulating insulin-like growth factor I level
MP:0008983	small vagina
HP:0100577	Urinary bladder inflammation
MP:0000859	abnormal somatosensory cortex morphology
HP:0008726	Hypoplasia of the vagina
MP:0000836	abnormal substantia nigra morphology
MP:0003025	increased vasoconstriction
MP:0004746	abnormal cochlear IHC afferent innervation pattern
MP:0009363	abnormal secondary ovarian follicle morphology
MP:0000392	accelerated hair follicle regression
MP:0009372	abnormal cumulus oophorus
HP:0004510	Pancreatic islet-cell hypertrophy
MP:0006416	abnormal rete testis morphology
MP:0001751	increased circulating luteinizing hormone level
MP:0006262	increased testis tumor incidence
MP:0006270	abnormal mammary gland growth during lactation
MP:0002680	decreased corpora lutea number
MP:0006267	abnormal intercalated disc morphology
MP:0001167	prostate gland epithelial hyperplasia
MP:0004348	long femur
MP:0003357	impaired granulosa cell differentiation
MP:0009454	impaired contextual conditioning behavior
MP:0004564	enlarged myocardial fiber
MP:0009456	impaired cued conditioning behavior
MP:0003862	decreased aggression towards males
MP:0005091	increased double-positive T cell number
ZP:0003088	abnormal(ly) stubby Meckel's cartilage
ZP:0003091	abnormal(ly) orientation ceratohyal cartilage towards basibranchial
ZP:0003090	abnormal(ly) bent palatoquadrate cartilage
ZP:0003093	abnormal(ly) decreased length ceratobranchial cartilage
ZP:0003095	abnormal(ly) aplastic subintestinal vein
ZP:0003094	abnormal(ly) hypoplastic subintestinal vein
ZP:0003084	abnormal(ly) absent neuromast
HP:0001377	Limited elbow extension
MP:0009254	disorganized pancreatic islets
MP:0003339	decreased pancreatic beta cell number
HP:0003647	Electron transfer flavoprotein-ubiquinone oxidoreductase defect
HP:0002614	Hepatic periportal necrosis
HP:0003530	Glutaric acidemia
HP:0003490	Defective dehydrogenation of isovaleryl CoA and butyryl CoA
HP:0001325	Hypoglycemic coma
HP:0000114	Proximal tubulopathy
HP:0002909	Generalized aminoaciduria
ZP:0003336	abnormal(ly) cystic pronephric duct
ZP:0006976	abnormal(ly) spatial pattern glial cell
ZP:0004257	abnormal(ly) present in fewer numbers in organism myotome neuromuscular junction
ZP:0006972	abnormal(ly) malformed pronephric duct cilium
ZP:0006973	abnormal(ly) mislocalised motor neuron mitochondrion
ZP:0006968	abnormal(ly) increased rate glycolytic process
ZP:0006969	abnormal(ly) increased rate neuroblast proliferation
ZP:0006970	abnormal(ly) decreased rate aerobic respiration
ZP:0006971	abnormal(ly) process quality respiratory electron transport chain
MP:0004887	decreased endolymph production
MP:0012100	absent spongiotrophoblast
MP:0008308	small scala media
MP:0008488	abnormal semicircular canal ampulla morphology
MP:0004758	absent strial marginal cells
MP:0003169	abnormal scala media morphology
MP:0011628	increased mitochondria number
HP:0002267	Exaggerated startle response
MP:0010570	prolonged ST segment
HP:0011710	Bundle branch block
MP:0011303	absent kidney papilla
MP:0000679	increased percent water in carcass
HP:0004540	Congenital, generalized hypertrichosis
HP:0007665	Curly eyelashes
HP:0008822	Hypoplastic ischiopubic rami
HP:0004757	Paroxysmal atrial fibrillation
HP:0006670	Impaired myocardial contractility
HP:0004634	Cuboid-shaped vertebral bodies
HP:0001520	Large for gestational age
HP:0003300	Ovoid vertebral bodies
HP:0001869	Deep plantar creases
HP:0005445	Widened posterior fossa
HP:0002690	Large sella turcica
HP:0002673	Coxa valga
HP:0000336	Prominent supraorbital ridges
HP:0003043	Abnormality of the shoulder
HP:0001841	Preaxial foot polydactyly
HP:0000215	Thick upper lip vermilion
HP:0005129	Congenital hypertrophy of left ventricle
HP:0010068	Broad first metatarsal
HP:0004975	Erlenmeyer flask deformity of the femurs
HP:0010055	Broad hallux
HP:0100545	Arterial stenosis
MP:0000250	abnormal vasoconstriction
MP:0000823	abnormal lateral ventricle morphology
MP:0009229	abnormal median eminence morphology
MP:0008934	absent choroid plexus
MP:0000826	abnormal third ventricle morphology
MP:0009648	abnormal superovulation
HP:0100879	Enlarged ovaries
MP:0004778	increased macrophage derived foam cell number
MP:0003191	abnormal cellular cholesterol metabolism
MP:0005339	increased susceptibility to atherosclerosis
MP:0002679	abnormal corpus luteum morphology
MP:0009688	abnormal spinal cord central canal morphology
MP:0000740	impaired smooth muscle contractility
MP:0005537	abnormal cerebral aqueduct morphology
MP:0004834	ovary hemorrhage
MP:0003507	abnormal ovary physiology
HP:0004311	Abnormality of macrophages
ZP:0003834	abnormal(ly) disrupted lipid metabolic process
ZP:0003835	abnormal(ly) disrupted central nervous system myelination
ZP:0003839	abnormal(ly) present in greater numbers in organism brain neuroblast
ZP:0003837	abnormal(ly) swollen brain mitochondrion
ZP:0003854	abnormal(ly) disorganized sensory neuron axon
ZP:0003855	abnormal(ly) increased size hepatocyte
ZP:0003850	abnormal(ly) increased size ventricular zone glial cell
ZP:0003851	abnormal(ly) decreased functionality whole organism mitochondrion
ZP:0003849	abnormal(ly) swollen kidney mitochondrion
ZP:0003846	abnormal(ly) absent neuromast kinocilium
ZP:0003847	abnormal(ly) decreased length neuromast kinocilium
ZP:0003844	abnormal(ly) present in greater numbers in organism liver lipid particle
ZP:0003845	abnormal(ly) decreased mass density liver mitochondrial crista
ZP:0003842	abnormal(ly) color liver
ZP:0003843	abnormal(ly) swollen liver mitochondrion
ZP:0003840	abnormal(ly) hyperplastic brain neuroblast
ZP:0003841	abnormal(ly) swollen spinal cord mitochondrion
MP:0008487	abnormal mesonephros morphology
ZP:0003856	abnormal(ly) swollen Mauthner neuron mitochondrion
ZP:0000547	abnormal(ly) disrupted definitive hemopoiesis
ZP:0003623	abnormal(ly) increased occurrence programmed cell death
ZP:0004638	abnormal(ly) present in fewer numbers in organism blood island hematopoietic stem cell
HP:0004808	Acute myeloid leukemia
MP:0002414	abnormal myeloblast morphology/development
MP:0004998	decreased CNS synapse formation
MP:0008775	abnormal heart ventricle pressure
MP:0002837	dystrophic cardiac calcinosis
MP:0009027	abnormal subarachnoid space morphology
MP:0011705	absent fibroblast proliferation
MP:0012703	decreased embryonic neuroepithelium thickness
MP:0004266	pale placenta
MP:0001101	abnormal superior vagus ganglion morphology
MP:0011246	abnormal fetal liver hematopoietic progenitor cell morphology
MP:0001097	abnormal superior glossopharyngeal ganglion morphology
MP:0001486	abnormal startle reflex
MP:0006295	absent sclerotome
MP:0005029	abnormal amnion morphology
MP:0004808	abnormal hematopoietic stem cell morphology
MP:0006018	abnormal tympanic membrane morphology
MP:0004575	small limb buds
MP:0004573	absent limb buds
MP:0012235	abnormal liver bud morphology
MP:0002415	abnormal neutrophil differentiation
MP:0012249	absent myotome
HP:0000395	Prominent antihelix
HP:0000698	Conical tooth
HP:0000695	Natal tooth
HP:0001241	Capitate-hamate fusion
HP:0001654	Abnormality of the heart valves
HP:0002006	Facial cleft
HP:0000039	Epispadias
HP:0006288	Advanced eruption of teeth
HP:0008921	Neonatal short-limb short stature
HP:0002967	Cubitus valgus
HP:0006035	Cone-shaped epiphyses of phalanges 2 to 5
HP:0006477	Abnormality of the alveolar ridges
HP:0003502	Mild short stature
HP:0009702	Carpal synostosis
MP:0000079	abnormal basioccipital bone morphology
MP:0004463	basisphenoid bone foramen
MP:0004053	abnormal synchondrosis
HP:0000957	Cafe-au-lait spot
HP:0000992	Cutaneous photosensitivity
ZP:0007727	abnormal(ly) perforate iris
MP:0003656	abnormal erythrocyte physiology
MP:0002371	abnormal thymus cortex morphology
MP:0002369	abnormal thymus subcapsular epithelium morphology
MP:0004955	increased thymus weight
MP:0009322	increased splenocyte apoptosis
ZP:0000455	abnormal(ly) aplastic intersegmental vessel
MP:0000403	increased curvature of zigzag hairs
MP:0000401	increased curvature of awl hairs
MP:0000406	increased curvature of auchene hairs
MP:0000399	increased curvature of guard hairs
MP:0001524	impaired limb coordination
MP:0004069	abnormal muscle spindle morphology
MP:0008468	absent muscle spindles
MP:0000988	abnormal pacinian corpuscle morphology
MP:0001000	absent golgi tendon organ
MP:0008486	decreased muscle spindle number
MP:0008485	increased muscle spindle number
MP:0000999	abnormal golgi tendon organ morphology
MP:0003993	abnormal ventral spinal root morphology
MP:0000216	absent erythroid progenitor cell
MP:0000215	absent erythrocytes
MP:0001602	impaired myelopoiesis
ZP:0000506	abnormal(ly) disrupted embryonic hemopoiesis
ZP:0000677	abnormal(ly) disrupted myeloid cell differentiation
ZP:0001395	abnormal(ly) disrupted vasculogenesis
ZP:0007844	abnormal(ly) morphology posterior lateral mesoderm
ZP:0007843	abnormal(ly) morphology blood vasculature
ZP:0003680	abnormal(ly) hypoplastic dorsal longitudinal anastomotic vessel
ZP:0010357	abnormal(ly) mislocalised radially pancreatic bud
ZP:0010356	abnormal(ly) mislocalised radially gall bladder
ZP:0007920	abnormal(ly) hypoplastic Kupffer's vesicle
ZP:0006502	abnormal(ly) disrupted cilium morphogenesis
ZP:0010355	abnormal(ly) arrested Kupffer's vesicle development
ZP:0005375	abnormal(ly) unlumenized Kupffer's vesicle
ZP:0001124	abnormal(ly) decreased length Kupffer's vesicle cilium
ZP:0003257	abnormal(ly) mislocalised radially heart tube
ZP:0000464	abnormal(ly) disrupted determination of digestive tract left/right asymmetry
MP:0011953	prolonged PQ interval
HP:0012722	Heart block
MP:0012701	increased embryonic neuroepithelium apoptosis
HP:0001678	Atrioventricular block
ZP:0003197	abnormal(ly) disrupted locomotion
ZP:0000683	abnormal(ly) deformed gut
ZP:0007174	abnormal(ly) disrupted organ morphogenesis
MP:0003672	abnormal ureter development
MP:0001378	abnormal ejaculation
MP:0003722	absent ureter
ZP:0000495	abnormal(ly) decreased size pectoral fin bud
ZP:0010367	abnormal(ly) hypoplastic pronephric glomerulus
ZP:0010366	abnormal(ly) process quality pronephros development
MP:0011125	decreased primary ovarian follicle number
HP:0002812	Coxa vara
HP:0002318	Cervical myelopathy
HP:0003067	Madelung deformity
HP:0003068	Madelung-like forearm deformities
HP:0003276	Pelvic exostoses
HP:0000934	Chondrocalcinosis
HP:0002992	Abnormality of the tibia
HP:0000918	Scapular exostoses
HP:0100777	Exostoses
HP:0006765	Chondrosarcoma
HP:0000896	Rib exostoses
HP:0100240	Synostosis of joints
ZP:0003277	abnormal(ly) hypoplastic pectoral fin bud
ZP:0000055	abnormal(ly) quality pectoral fin
ZP:0001050	abnormal(ly) decreased length pectoral fin
ZP:0001832	abnormal(ly) disorganized ceratohyal cartilage chondrocyte
ZP:0001833	abnormal(ly) deformed cranial cartilage
ZP:0000875	abnormal(ly) malformed cleithrum
ZP:0001810	abnormal(ly) disrupted glycosaminoglycan metabolic process
ZP:0001082	abnormal(ly) decreased size cleithrum
ZP:0000359	abnormal(ly) decreased size forebrain
ZP:0002281	abnormal(ly) decreased length cartilage element
ZP:0002065	abnormal(ly) subdermal Rohon-Beard neuron axon
ZP:0002316	abnormal(ly) decreased occurrence heparan sulfate proteoglycan biosynthetic process
ZP:0002323	abnormal(ly) condensed mandibular arch skeleton
ZP:0005004	abnormal(ly) displaced retinal ganglion cell axon
ZP:0002321	abnormal(ly) malformed opercle
ZP:0005002	abnormal(ly) irregular spatial pattern retinal ganglion cell axon
ZP:0001780	abnormal(ly) has fewer parts of type ceratobranchial 5 bone towards ceratobranchial 5 tooth
ZP:0002331	abnormal(ly) circular pharyngeal arch cartilage chondrocyte
ZP:0002330	abnormal(ly) oriented pharyngeal arch cartilage
ZP:0002329	abnormal(ly) increased thickness pharyngeal arch cartilage
ZP:0002328	abnormal(ly) decreased length pharyngeal arch cartilage
ZP:0002063	abnormal(ly) disrupted sensory neuron axon guidance
ZP:0002332	abnormal(ly) disorganized pharyngeal arch cartilage chondrocyte
ZP:0000914	abnormal(ly) decreased length ceratobranchial 5 bone
ZP:0000915	abnormal(ly) malformed ceratobranchial 5 bone
ZP:0007241	abnormal(ly) fasciculation retinal ganglion cell axon
ZP:0007240	abnormal(ly) circular chondrocyte
ZP:0000665	abnormal(ly) decreased length ceratohyal cartilage
ZP:0007236	abnormal(ly) increased thickness neurocranium
ZP:0007238	abnormal(ly) increased width pharyngeal arch 3-7
ZP:0006425	abnormal(ly) increased width pharyngeal arch 2 skeleton
ZP:0007233	abnormal(ly) increased thickness cartilage element
ZP:0007235	abnormal(ly) decreased length neurocranium
ZP:0007234	abnormal(ly) decreased size ceratobranchial 4 cartilage
ZP:0007226	abnormal(ly) has extra parts of type ventral tooth row towards ceratobranchial 5 tooth
ZP:0007227	abnormal(ly) has fewer parts of type dorsal tooth row towards ceratobranchial 5 tooth
ZP:0007230	abnormal(ly) mislocalised posteriorly mandibular arch skeleton
ZP:0007231	abnormal(ly) apoptotic ceratobranchial 5 bone
ZP:0007228	abnormal(ly) decreased thickness pharyngeal epithelium
ZP:0007229	abnormal(ly) increased size Meckel's cartilage
ZP:0007218	abnormal(ly) decreased length ceratobranchial 5 tooth
ZP:0007219	abnormal(ly) increased thickness ceratobranchial 5 tooth
ZP:0007216	abnormal(ly) aplastic apical ectodermal ridge pectoral fin bud
ZP:0002381	abnormal(ly) morphology chondrocyte
ZP:0007217	abnormal(ly) decreased size pectoral girdle
